hid,dname,pwgt,ppopwgt,relation,partner,children,age,sex,immigr,educ,educ_c,emp,ptime,status1,gross1,hpopwgt,nhhmem,hitsi,hitsu,hitp,hxit,dhi,factor,grossnet,_merge,depemp,achildcat,livepartner,hourwage,logwage,agesq,youngchild,oldchild,mededuc,hieduc,miss_comp,dhi_tb,edhi_tb,poor,thresh
233,it04,.19164003,1102.9565,[3000]child,[110]living with partner,,28,[1]male,[0]not immigrant,[1]low,130,[1]employed,[0]full-time,[110]regular employee,,1102.9565,6,9100,0,0,9698,39208,30108,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,,1,,,784,,,0,0,0,39208,16006.599,0,7514.5
233,it04,.19164003,1102.9565,[4100]other relative,[110]living with partner,,28,[2]female,[1]immigrant,[1]low,130,[0]not employed,,,,1102.9565,6,9100,0,0,9698,39208,30108,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),,,1,,,784,,,0,0,0,39208,16006.599,0,7514.5
234,it04,.24357818,1401.8792,[1000]head,[110]living with partner,[110]living with own children aged 0-5,40,[1]male,[0]not immigrant,[2]medium,230,[1]employed,[0]full-time,[110]regular employee,,1401.8792,5,0,0,0,21265,40968,40968,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,<6 years,1,,,1600,1,0,1,0,0,40968,18321.447,0,7514.5
234,it04,.24357818,1401.8792,[2000]spouse/partner,[110]living with partner,[110]living with own children aged 0-5,38,[2]female,[0]not immigrant,[2]medium,230,[0]not employed,,,,1401.8792,5,0,0,0,21265,40968,40968,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),,<6 years,1,,,1444,1,0,1,0,0,40968,18321.447,0,7514.5
235,it04,.3920669,2256.4846,[1000]head,[120]not living with partner,[200]not living with own children,50,[1]male,[0]not immigrant,[2]medium,230,[1]employed,[0]full-time,[200]self-employed,,2256.4846,1,0,0,0,13938,23315,23315,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),0,no children <18,0,,,2500,0,0,1,0,0,23315,23315,0,7514.5
236,it04,.45669964,2628.469,[3000]child,[200]does not have partner,,32,[2]female,[0]not immigrant,[3]high,320,[1]employed,[0]full-time,[110]regular employee,,2628.469,3,0,0,0,28225,44975,44975,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,,0,,,1024,,,0,1,0,44975,25966.328,0,7514.5
237,it04,.38935184,2240.8584,[1000]head,[110]living with partner,[140]living with own children 18+,52,[1]male,[0]not immigrant,[1]low,130,[1]employed,[0]full-time,[110]regular employee,,2240.8584,4,0,0,0,11389,34629,34629,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,no children <18,1,,,2704,0,0,0,0,0,34629,17314.5,0,7514.5
237,it04,.38935184,2240.8584,[2000]spouse/partner,[110]living with partner,[140]living with own children 18+,46,[2]female,[0]not immigrant,[1]low,120,[0]not employed,,,,2240.8584,4,0,0,0,11389,34629,34629,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),,no children <18,1,,,2116,0,0,0,0,0,34629,17314.5,0,7514.5
237,it04,.38935184,2240.8584,[3000]child,[200]does not have partner,,25,[1]male,[0]not immigrant,[1]low,130,[1]employed,[0]full-time,[110]regular employee,,2240.8584,4,0,0,0,11389,34629,34629,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,,0,,,625,,,0,0,0,34629,17314.5,0,7514.5
238,it04,.13172802,758.14172,[1000]head,[110]living with partner,[140]living with own children 18+,50,[1]male,[0]not immigrant,[2]medium,230,[1]employed,[0]full-time,[110]regular employee,,758.14172,4,0,0,0,10841,37353,37353,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,no children <18,1,,,2500,0,0,1,0,0,37353,18676.5,0,7514.5
238,it04,.13172802,758.14172,[2000]spouse/partner,[110]living with partner,[140]living with own children 18+,46,[2]female,[0]not immigrant,[2]medium,260,[1]employed,[1]part-time,[110]regular employee,,758.14172,4,0,0,0,10841,37353,37353,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,no children <18,1,,,2116,0,0,1,0,0,37353,18676.5,0,7514.5
239,it04,.099925146,575.1048,[2000]spouse/partner,[110]living with partner,[200]not living with own children,53,[2]female,[0]not immigrant,[1]low,130,[0]not employed,,,,575.1048,2,27703,0,0,5196,27827,124,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),,no children <18,1,,,2809,0,0,0,0,0,27827,19676.66,0,7514.5
240,it04,.38337997,2206.488,[1000]head,[110]living with partner,[130]living with own children 13-17,46,[1]male,[0]not immigrant,[2]medium,230,[1]employed,[0]full-time,[110]regular employee,,2206.488,4,0,0,0,8874,33829,33829,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,6-17 years,1,,,2116,0,1,1,0,0,33829,16914.5,0,7514.5
240,it04,.38337997,2206.488,[2000]spouse/partner,[110]living with partner,[130]living with own children 13-17,42,[2]female,[0]not immigrant,[2]medium,230,[1]employed,[1]part-time,[110]regular employee,,2206.488,4,0,0,0,8874,33829,33829,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,6-17 years,1,,,1764,0,1,1,0,0,33829,16914.5,0,7514.5
241,it04,.57139093,3288.5581,[1000]head,[110]living with partner,[110]living with own children aged 0-5,51,[1]male,[0]not immigrant,[2]medium,230,[1]employed,[0]full-time,[240]contributing family worker,,3288.5581,6,0,0,0,0,17279,17279,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),0,<6 years,1,,,2601,1,0,1,0,0,17279,7054.1221,1,7514.5
241,it04,.57139093,3288.5581,[2000]spouse/partner,[110]living with partner,[110]living with own children aged 0-5,48,[2]female,[0]not immigrant,[1]low,130,[1]employed,[1]part-time,[240]contributing family worker,,3288.5581,6,0,0,0,0,17279,17279,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),0,<6 years,1,,,2304,1,0,0,0,0,17279,7054.1221,1,7514.5
241,it04,.57139093,3288.5581,[3000]child,[200]does not have partner,,26,[1]male,[0]not immigrant,[2]medium,230,[0]not employed,,,,3288.5581,6,0,0,0,0,17279,17279,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),,,0,,,676,,,1,0,0,17279,7054.1221,1,7514.5
245,it04,.29951203,1723.7983,[3000]child,[200]does not have partner,,25,[2]female,[0]not immigrant,[1]low,130,[0]not employed,,,,1723.7983,2,13900,0,0,739,14507,607,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),,,0,,,625,,,0,0,0,14507,10257.998,0,7514.5
251,it04,.23044483,1326.2921,[3000]child,[200]does not have partner,,33,[2]female,[0]not immigrant,[2]medium,240,[0]not employed,,,,1326.2921,3,7800,0,0,1726,22586,14786,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),,,0,,,1089,,,1,0,0,22586,13040.033,0,7514.5
252,it04,.24839295,1429.5898,[1000]head,[110]living with partner,[130]living with own children 13-17,49,[1]male,[0]not immigrant,[1]low,130,[1]employed,[0]full-time,[110]regular employee,,1429.5898,5,7800,186,0,2492,23858,15872,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,6-17 years,1,,,2401,0,1,0,0,0,23858,10669.622,0,7514.5
252,it04,.24839295,1429.5898,[2000]spouse/partner,[110]living with partner,[130]living with own children 13-17,46,[2]female,[0]not immigrant,[1]low,120,[0]not employed,,,,1429.5898,5,7800,186,0,2492,23858,15872,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),,6-17 years,1,,,2116,0,1,0,0,0,23858,10669.622,0,7514.5
257,it04,2.3014793,13245.832,[1000]head,[110]living with partner,[140]living with own children 18+,47,[1]male,[0]not immigrant,[2]medium,210,[1]employed,[0]full-time,[110]regular employee,,13245.832,3,0,0,0,10413,27520,27520,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,no children <18,1,,,2209,0,0,1,0,0,27520,15888.68,0,7514.5
257,it04,2.3014793,13245.832,[2000]spouse/partner,[110]living with partner,[140]living with own children 18+,45,[2]female,[0]not immigrant,[1]low,130,[0]not employed,,,,13245.832,3,0,0,0,10413,27520,27520,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),,no children <18,1,,,2025,0,0,0,0,0,27520,15888.68,0,7514.5
258,it04,.1833616,1055.3113,[3000]child,[200]does not have partner,,39,[2]female,[0]not immigrant,[2]medium,230,[1]employed,[0]full-time,[110]regular employee,,1055.3113,2,9698,0,0,5639,24290,14592,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,,0,,,1521,,,1,0,0,24290,17175.623,0,7514.5
259,it04,.10659144,613.47168,[1000]head,[110]living with partner,[200]not living with own children,52,[1]male,[0]not immigrant,[1]low,120,[1]employed,[0]full-time,[110]regular employee,,613.47168,2,0,0,0,6660,24425,24425,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,no children <18,1,,,2704,0,0,0,0,0,24425,17271.084,0,7514.5
259,it04,.10659144,613.47168,[2000]spouse/partner,[110]living with partner,[200]not living with own children,52,[2]female,[0]not immigrant,[1]low,130,[1]employed,[0]full-time,[110]regular employee,,613.47168,2,0,0,0,6660,24425,24425,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,no children <18,1,,,2704,0,0,0,0,0,24425,17271.084,0,7514.5
261,it04,.60740453,3495.8293,[3000]child,[200]does not have partner,,38,[2]female,[0]not immigrant,[3]high,320,[1]employed,[0]full-time,[110]regular employee,,3495.8293,2,26221,0,0,27059,61161,34940,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,,0,,,1444,,,0,1,0,61161,43247.359,0,7514.5
263,it04,.18676345,1074.8901,[2000]spouse/partner,[110]living with partner,[200]not living with own children,51,[2]female,[0]not immigrant,[1]low,120,[1]employed,[0]full-time,[110]regular employee,,1074.8901,2,14300,0,0,6134,35192,20892,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,no children <18,1,,,2601,0,0,0,0,0,35192,24884.502,0,7514.5
265,it04,.235365,1354.6094,[3000]child,[200]does not have partner,,47,[2]female,[0]not immigrant,[3]high,320,[1]employed,[0]full-time,[110]regular employee,,1354.6094,2,8450,0,0,4979,25126,16676,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,,0,,,2209,,,0,1,0,25126,17766.766,0,7514.5
266,it04,.17288254,995.00055,[1000]head,[110]living with partner,[140]living with own children 18+,45,[2]female,[0]not immigrant,[1]low,130,[1]employed,[1]part-time,[110]regular employee,,995.00055,4,0,0,0,18672,57041,57041,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,no children <18,1,,,2025,0,0,0,0,0,57041,28520.5,0,7514.5
266,it04,.17288254,995.00055,[2000]spouse/partner,[110]living with partner,[140]living with own children 18+,49,[1]male,[0]not immigrant,[1]low,120,[1]employed,[0]full-time,[110]regular employee,,995.00055,4,0,0,0,18672,57041,57041,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,no children <18,1,,,2401,0,0,0,0,0,57041,28520.5,0,7514.5
268,it04,1.0365058,5965.46,[1000]head,[110]living with partner,[110]living with own children aged 0-5,43,[2]female,[0]not immigrant,[2]medium,260,[1]employed,[0]full-time,[110]regular employee,,5965.46,4,0,0,0,19701,44854,44854,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,<6 years,1,,,1849,1,0,1,0,0,44854,22427,0,7514.5
268,it04,1.0365058,5965.46,[2000]spouse/partner,[110]living with partner,[110]living with own children aged 0-5,43,[1]male,[0]not immigrant,[2]medium,230,[1]employed,[0]full-time,[220]own-account worker,,5965.46,4,0,0,0,19701,44854,44854,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),0,<6 years,1,,,1849,1,0,1,0,0,44854,22427,0,7514.5
269,it04,.62535232,3599.1255,[3000]child,[200]does not have partner,,34,[1]male,[0]not immigrant,[3]high,320,[1]employed,[1]part-time,[200]self-employed,,3599.1255,3,46800,0,0,23491,63359,16559,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),0,,0,,,1156,,,0,1,0,63359,36580.336,0,7514.5
271,it04,.25265425,1454.1151,[1000]head,[200]does not have partner,[140]living with own children 18+,52,[2]female,[0]not immigrant,[1]low,130,[0]not employed,,,,1454.1151,2,31200,0,0,12280,36977,5777,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),,no children <18,0,,,2704,0,0,0,0,0,36977,26146.688,0,7514.5
272,it04,1.1778861,6779.1538,[1000]head,[110]living with partner,[140]living with own children 18+,50,[1]male,[0]not immigrant,[2]medium,230,[1]employed,[0]full-time,[110]regular employee,,6779.1538,4,0,0,0,9035,35143,35143,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,no children <18,1,,,2500,0,0,1,0,0,35143,17571.5,0,7514.5
272,it04,1.1778861,6779.1538,[2000]spouse/partner,[110]living with partner,[140]living with own children 18+,50,[2]female,[0]not immigrant,[1]low,130,[1]employed,[0]full-time,[110]regular employee,,6779.1538,4,0,0,0,9035,35143,35143,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,no children <18,1,,,2500,0,0,0,0,0,35143,17571.5,0,7514.5
274,it04,.13356745,768.72827,[3000]child,[200]does not have partner,,46,[1]male,[0]not immigrant,[2]medium,230,[1]employed,[0]full-time,[110]regular employee,,768.72827,2,9100,0,0,7118,26233,17133,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,,0,,,2116,,,1,0,0,26233,18549.531,0,7514.5
275,it04,.24235125,1394.8177,[1000]head,[110]living with partner,[120]living with own children 6-12,40,[1]male,[0]not immigrant,[1]low,130,[1]employed,[0]full-time,[110]regular employee,,1394.8177,4,0,310,0,7296,22179,21869,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,6-17 years,1,,,1600,0,1,0,0,0,22179,11089.5,0,7514.5
275,it04,.24235125,1394.8177,[2000]spouse/partner,[110]living with partner,[120]living with own children 6-12,35,[2]female,[0]not immigrant,[1]low,130,[0]not employed,,,,1394.8177,4,0,310,0,7296,22179,21869,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),,6-17 years,1,,,1225,0,1,0,0,0,22179,11089.5,0,7514.5
277,it04,.84984863,4891.1816,[1000]head,[110]living with partner,[120]living with own children 6-12,43,[2]female,[0]not immigrant,[2]medium,260,[1]employed,[1]part-time,[110]regular employee,,4891.1816,4,0,310,0,3310,24025,23715,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,6-17 years,1,,,1849,0,1,1,0,0,24025,12012.5,0,7514.5
277,it04,.84984863,4891.1816,[2000]spouse/partner,[110]living with partner,[120]living with own children 6-12,45,[1]male,[0]not immigrant,[1]low,130,[1]employed,[0]full-time,[110]regular employee,,4891.1816,4,0,310,0,3310,24025,23715,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,6-17 years,1,,,2025,0,1,0,0,0,24025,12012.5,0,7514.5
278,it04,.42904913,2469.3306,[1000]head,[200]does not have partner,[200]not living with own children,54,[1]male,[0]not immigrant,[1]low,130,[0]not employed,,,,2469.3306,1,5330,0,100,0,5430,0,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),,no children <18,0,,,2916,0,0,0,0,0,5430,5430,1,7514.5
279,it04,.52449673,3018.6653,[1000]head,[110]living with partner,[120]living with own children 6-12,46,[1]male,[0]not immigrant,[2]medium,230,[1]employed,[0]full-time,[110]regular employee,,3018.6653,4,0,0,0,9858,35981,35981,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,6-17 years,1,,,2116,0,1,1,0,0,35981,17990.5,0,7514.5
279,it04,.52449673,3018.6653,[2000]spouse/partner,[110]living with partner,[120]living with own children 6-12,42,[2]female,[0]not immigrant,[2]medium,230,[1]employed,[1]part-time,[110]regular employee,,3018.6653,4,0,0,0,9858,35981,35981,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,6-17 years,1,,,1764,0,1,1,0,0,35981,17990.5,0,7514.5
281,it04,.47476578,2732.446,[2000]spouse/partner,[110]living with partner,[140]living with own children 18+,54,[2]female,[0]not immigrant,[1]low,130,[0]not employed,,,,2732.446,4,27950,0,0,7575,39508,11558,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),,no children <18,1,,,2916,0,0,0,0,0,39508,19754,0,7514.5
283,it04,.17987216,1035.2283,[3000]child,[200]does not have partner,,31,[2]female,[0]not immigrant,[3]high,320,[1]employed,[0]full-time,[220]own-account worker,,1035.2283,3,17550,0,0,21782,54802,37252,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),0,,0,,,961,,,0,1,0,54802,31639.949,0,7514.5
285,it04,.19471093,1120.6306,[4100]other relative,[200]does not have partner,,25,[2]female,[0]not immigrant,[1]low,130,[1]employed,[1]part-time,[110]regular employee,,1120.6306,3,16900,0,0,4572,26200,9300,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,,0,,,625,,,0,0,0,26200,15126.577,0,7514.5
287,it04,.30495137,1755.1038,[1000]head,[110]living with partner,[130]living with own children 13-17,46,[1]male,[0]not immigrant,[1]low,130,[1]employed,[1]part-time,[110]regular employee,,1755.1038,4,0,0,0,9714,41286,41286,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,6-17 years,1,,,2116,0,1,0,0,0,41286,20643,0,7514.5
287,it04,.30495137,1755.1038,[2000]spouse/partner,[110]living with partner,[130]living with own children 13-17,43,[2]female,[0]not immigrant,[2]medium,260,[1]employed,[1]part-time,[110]regular employee,,1755.1038,4,0,0,0,9714,41286,41286,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,6-17 years,1,,,1849,0,1,1,0,0,41286,20643,0,7514.5
288,it04,.42705193,2457.8359,[1000]head,[110]living with partner,[120]living with own children 6-12,50,[1]male,[0]not immigrant,[1]low,130,[1]employed,[0]full-time,[110]regular employee,,2457.8359,4,0,1109,0,1323,13000,11891,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,6-17 years,1,,,2500,0,1,0,0,0,13000,6500,1,7514.5
288,it04,.42705193,2457.8359,[2000]spouse/partner,[110]living with partner,[120]living with own children 6-12,45,[2]female,[0]not immigrant,[1]low,120,[0]not employed,,,,2457.8359,4,0,1109,0,1323,13000,11891,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),,6-17 years,1,,,2025,0,1,0,0,0,13000,6500,1,7514.5
289,it04,.38158154,2196.1377,[1000]head,[110]living with partner,[120]living with own children 6-12,53,[1]male,[0]not immigrant,[1]low,120,[1]employed,[0]full-time,[110]regular employee,,2196.1377,5,0,2287,0,1171,12000,9713,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,6-17 years,1,,,2809,0,1,0,0,0,12000,5366.563,1,7514.5
289,it04,.38158154,2196.1377,[2000]spouse/partner,[110]living with partner,[120]living with own children 6-12,48,[2]female,[0]not immigrant,[1]low,120,[0]not employed,,,,2196.1377,5,0,2287,0,1171,12000,9713,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),,6-17 years,1,,,2304,0,1,0,0,0,12000,5366.563,1,7514.5
289,it04,.38158154,2196.1377,[3000]child,[200]does not have partner,,25,[1]male,[0]not immigrant,[2]medium,230,[0]not employed,,,,2196.1377,5,0,2287,0,1171,12000,9713,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),,,0,,,625,,,1,0,0,12000,5366.563,1,7514.5
291,it04,1.5488187,8914.0029,[1000]head,[110]living with partner,[140]living with own children 18+,44,[2]female,[1]immigrant,[2]medium,230,[0]not employed,,,,8914.0029,3,0,0,0,15996,30249,30249,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),,no children <18,1,,,1936,0,0,1,0,0,30249,17464.268,0,7514.5
291,it04,1.5488187,8914.0029,[2000]spouse/partner,[110]living with partner,[140]living with own children 18+,47,[1]male,[0]not immigrant,[2]medium,210,[1]employed,[0]full-time,[110]regular employee,,8914.0029,3,0,0,0,15996,30249,30249,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,no children <18,1,,,2209,0,0,1,0,0,30249,17464.268,0,7514.5
294,it04,.92721492,5336.4521,[1000]head,[110]living with partner,[140]living with own children 18+,54,[1]male,[0]not immigrant,[3]high,320,[1]employed,[1]part-time,[110]regular employee,,5336.4521,4,0,0,0,20124,57722,57722,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,no children <18,1,,,2916,0,0,0,1,0,57722,28861,0,7514.5
294,it04,.92721492,5336.4521,[2000]spouse/partner,[110]living with partner,[140]living with own children 18+,54,[2]female,[0]not immigrant,[3]high,320,[1]employed,[0]full-time,[110]regular employee,,5336.4521,4,0,0,0,20124,57722,57722,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,no children <18,1,,,2916,0,0,0,1,0,57722,28861,0,7514.5
294,it04,.92721492,5336.4521,[3000]child,[200]does not have partner,,27,[1]male,[0]not immigrant,[3]high,320,[1]employed,[0]full-time,[200]self-employed,,5336.4521,4,0,0,0,20124,57722,57722,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),0,,0,,,729,,,0,1,0,57722,28861,0,7514.5
295,it04,.65082169,3745.7104,[1000]head,[110]living with partner,[140]living with own children 18+,52,[2]female,[0]not immigrant,[2]medium,260,[1]employed,[1]part-time,[110]regular employee,,3745.7104,3,12168,0,0,6644,32504,20336,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,no children <18,1,,,2704,0,0,1,0,0,32504,18766.193,0,7514.5
295,it04,.65082169,3745.7104,[2000]spouse/partner,[110]living with partner,[140]living with own children 18+,54,[1]male,[0]not immigrant,[1]low,130,[0]not employed,,,,3745.7104,3,12168,0,0,6644,32504,20336,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),,no children <18,1,,,2916,0,0,0,0,0,32504,18766.193,0,7514.5
299,it04,.88386226,5086.9419,[2000]spouse/partner,[110]living with partner,[200]not living with own children,54,[2]female,[1]immigrant,[2]medium,210,[0]not employed,,,,5086.9419,2,9360,0,0,73,9480,120,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),,no children <18,1,,,2916,0,0,1,0,0,9480,6703.3721,1,7514.5
301,it04,1.7159667,9875.999,[3000]child,[200]does not have partner,,37,[1]male,[0]not immigrant,[3]high,320,[1]employed,[0]full-time,[220]own-account worker,,9875.999,3,12480,0,0,17519,39472,26992,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),0,,0,,,1369,,,0,1,0,39472,22789.17,0,7514.5
306,it04,.48118323,2769.3809,[1000]head,[110]living with partner,[120]living with own children 6-12,47,[1]male,[0]not immigrant,[2]medium,230,[1]employed,[0]full-time,[110]regular employee,,2769.3809,4,0,0,0,8506,30034,30034,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,6-17 years,1,,,2209,0,1,1,0,0,30034,15017,0,7514.5
306,it04,.48118323,2769.3809,[2000]spouse/partner,[110]living with partner,[120]living with own children 6-12,49,[2]female,[0]not immigrant,[2]medium,230,[1]employed,[1]part-time,[110]regular employee,,2769.3809,4,0,0,0,8506,30034,30034,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,6-17 years,1,,,2401,0,1,1,0,0,30034,15017,0,7514.5
308,it04,.48323753,2781.2041,[3000]child,[200]does not have partner,,27,[2]female,[0]not immigrant,[3]high,320,[1]employed,[0]full-time,[110]regular employee,,2781.2041,3,14400,0,0,5748,28400,14000,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,,0,,,729,,,0,1,0,28400,16396.748,0,7514.5
311,it04,.2339893,1346.6918,[1000]head,[200]does not have partner,[140]living with own children 18+,41,[2]female,[0]not immigrant,[1]low,120,[0]not employed,,,,1346.6918,2,1350,0,5000,1111,8375,25,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),,no children <18,0,,,1681,0,0,0,0,0,8375,5922.0195,1,7514.5
312,it04,.11225361,646.05951,[1000]head,[110]living with partner,[140]living with own children 18+,54,[2]female,[0]not immigrant,[1]low,120,[0]not employed,,,,646.05951,3,14950,0,0,8116,29991,15041,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),,no children <18,1,,,2916,0,0,0,0,0,29991,17315.313,0,7514.5
312,it04,.11225361,646.05951,[3000]child,[200]does not have partner,,28,[1]male,[0]not immigrant,[2]medium,230,[1]employed,[0]full-time,[110]regular employee,,646.05951,3,14950,0,0,8116,29991,15041,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,,0,,,784,,,1,0,0,29991,17315.313,0,7514.5
313,it04,.10795656,621.32843,[1000]head,[110]living with partner,[130]living with own children 13-17,54,[2]female,[0]not immigrant,[1]low,130,[0]not employed,,,,621.32843,5,0,155,0,14632,37400,37245,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),,6-17 years,1,,,2916,0,1,0,0,0,37400,16725.789,0,7514.5
315,it04,.34962973,2012.2435,[1000]head,[110]living with partner,[140]living with own children 18+,43,[2]female,[0]not immigrant,[1]low,130,[0]not employed,,,,2012.2435,4,0,0,0,7178,31408,31408,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),,no children <18,1,,,1849,0,0,0,0,0,31408,15704,0,7514.5
315,it04,.34962973,2012.2435,[2000]spouse/partner,[110]living with partner,[140]living with own children 18+,50,[1]male,[0]not immigrant,[1]low,130,[1]employed,[0]full-time,[110]regular employee,,2012.2435,4,0,0,0,7178,31408,31408,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,no children <18,1,,,2500,0,0,0,0,0,31408,15704,0,7514.5
317,it04,.55665487,3203.7468,[1000]head,[110]living with partner,[140]living with own children 18+,44,[1]male,[0]not immigrant,[1]low,130,[1]employed,[0]full-time,[110]regular employee,,3203.7468,3,0,0,0,11100,39148,39148,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,no children <18,1,,,1936,0,0,0,0,0,39148,22602.107,0,7514.5
317,it04,.55665487,3203.7468,[2000]spouse/partner,[110]living with partner,[140]living with own children 18+,44,[2]female,[0]not immigrant,[2]medium,220,[1]employed,[0]full-time,[110]regular employee,,3203.7468,3,0,0,0,11100,39148,39148,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,no children <18,1,,,1936,0,0,1,0,0,39148,22602.107,0,7514.5
318,it04,.16928038,974.2688,[3000]child,[200]does not have partner,,34,[2]female,[0]not immigrant,[2]medium,240,[1]employed,[0]full-time,[110]regular employee,,974.2688,5,14400,0,0,7509,37027,22627,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,,0,,,1156,,,1,0,0,37027,16558.979,0,7514.5
318,it04,.16928038,974.2688,[3000]child,[200]does not have partner,,33,[1]male,[0]not immigrant,[1]low,130,[1]employed,[0]full-time,[110]regular employee,,974.2688,5,14400,0,0,7509,37027,22627,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,,0,,,1089,,,0,0,0,37027,16558.979,0,7514.5
320,it04,.302342,1740.0858,[1000]head,[110]living with partner,[120]living with own children 6-12,42,[2]female,[0]not immigrant,[2]medium,230,[1]employed,[0]full-time,[110]regular employee,,1740.0858,4,0,0,0,19605,50766,50766,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,6-17 years,1,,,1764,0,1,1,0,0,50766,25383,0,7514.5
320,it04,.302342,1740.0858,[2000]spouse/partner,[110]living with partner,[120]living with own children 6-12,46,[1]male,[0]not immigrant,[2]medium,240,[1]employed,[0]full-time,[110]regular employee,,1740.0858,4,0,0,0,19605,50766,50766,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,6-17 years,1,,,2116,0,1,1,0,0,50766,25383,0,7514.5
322,it04,.17954318,1033.335,[3000]child,[200]does not have partner,,28,[2]female,[0]not immigrant,[1]low,130,[0]not employed,,,,1033.335,4,16250,0,0,1560,16250,0,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),,,0,,,784,,,0,0,0,16250,8125,0,7514.5
